matricula;nome;email;cargo;setor;cpf;ativo
MAT-1023;Natália Soares Santana;natalia.santana23@empresa.com;Desenvolvedor Pleno;Engenharia de Software;872.343.098-29;sim
MAT-1007;Patricia Cardoso Soares;patricia.soares7@empresa.com;Cientista de Dados;Inteligência de Dados;327.648.350-51;sim
MAT-1035;Patricia Santana Lopes;patricia.lopes35@empresa.com;Cientista de Dados;Inteligência de Dados;160.733.754-17;sim
MAT-1015;Paula Cardoso Alves;paula.alves15@empresa.com;Gerente de Contas;Comercial;489.638.346-03;sim
MAT-1022;Priscila Araújo Pereira;priscila.pereira22@empresa.com;Especialista em Segurança;Segurança da Informação;602.606.474-54;sim
MAT-1026;Priscila Nunes Teixeira;priscila.teixeira26@empresa.com;Arquitetura de Software;Engenharia de Software;985.435.346-07;sim
MAT-1001;Renata Oliveira Silva;renata.silva1@empresa.com;Desenvolvedor Pleno;Engenharia de Software;433.218.196-43;sim
MAT-1050;Roberto Alves;roberto.alves@empresa.com;Analista de Suporte;Tecnologia da Informação;678.901.234-55;sim
MAT-1031;Roberto Correia Ferreira;roberto.ferreira31@empresa.com;Analista de Operações;Operações;400.524.278-20;sim
MAT-1028;Rodrigo Melo Martins;rodrigo.martins28@empresa.com;Analista de Operações;Operações;251.354.278-99;sim
MAT-1043;Sabrina Nunes Correia;sabrina.correia43@empresa.com;Desenvolvedor Pleno;Engenharia de Software;951.343.320-02;sim
MAT-1034;Sérgio Lima Freitas;sergio.freitas34@empresa.com;Designer UX/UI;Produto e Design;322.602.563-50;sim
MAT-1041;Sérgio Machado Alves;sergio.alves41@empresa.com;Especialista em Segurança;Segurança da Informação;994.680.443-35;sim
MAT-1024;Sérgio Ribeiro Souza;sergio.souza24@empresa.com;QA / Testador;Garantia de Qualidade;097.882.081-93;sim
MAT-1054;Thiago Barbosa;thiago.barbosa@empresa.com;Desenvolvedor Pleno;Engenharia de Software;012.345.678-99;sim
MAT-1013;Thiago Carvalho Vieira;thiago.vieira13@empresa.com;Analista de Suporte;Tecnologia da Informação;288.095.701-03;sim
MAT-1012;Vinícius Alves Gomes;vinicius.gomes12@empresa.com;Analista de Dados;Inteligência de Dados;048.281.489-65;sim
MAT-1032;Vinícius Cardoso Silva;vinicius.silva32@empresa.com;Especialista em Segurança;Segurança da Informação;112.805.982-71;sim
MAT-1039;Vinícius Silva Melo;vinicius.melo39@empresa.com;Gerente Operacional;Operações;835.615.951-20;sim
